Date,Close,Adj Close
01-04-1991,371.3,371.3
02-04-1991,379.5,379.5
03-04-1991,378.94,378.94
04-04-1991,379.77,379.77
05-04-1991,375.36,375.36
08-04-1991,378.66,378.66
09-04-1991,373.56,373.56
10-04-1991,373.15,373.15
11-04-1991,377.63,377.63
12-04-1991,380.4,380.4
15-04-1991,381.19,381.19
16-04-1991,387.62,387.62
17-04-1991,390.45,390.45
18-04-1991,388.46,388.46
19-04-1991,384.2,384.2
22-04-1991,380.95,380.95
23-04-1991,381.76,381.76
24-04-1991,382.76,382.76
25-04-1991,379.25,379.25
26-04-1991,379.02,379.02
29-04-1991,373.66,373.66
30-04-1991,375.34,375.34
01-05-1991,380.29,380.29
02-05-1991,380.52,380.52
03-05-1991,380.8,380.8
06-05-1991,380.08,380.08
07-05-1991,377.32,377.32
08-05-1991,378.51,378.51
09-05-1991,383.25,383.25
10-05-1991,375.74,375.74
13-05-1991,376.76,376.76
14-05-1991,371.62,371.62
15-05-1991,368.57,368.57
16-05-1991,372.19,372.19
17-05-1991,372.39,372.39
20-05-1991,372.28,372.28
21-05-1991,375.35,375.35
22-05-1991,376.19,376.19
23-05-1991,374.96,374.96
24-05-1991,377.49,377.49
28-05-1991,381.94,381.94
29-05-1991,382.79,382.79
30-05-1991,386.96,386.96
31-05-1991,389.83,389.83
03-06-1991,388.06,388.06
04-06-1991,387.74,387.74
05-06-1991,385.09,385.09
06-06-1991,383.63,383.63
07-06-1991,379.43,379.43
10-06-1991,378.57,378.57
11-06-1991,381.05,381.05
12-06-1991,376.65,376.65
13-06-1991,377.63,377.63
14-06-1991,382.29,382.29
17-06-1991,380.13,380.13
18-06-1991,378.59,378.59
19-06-1991,375.09,375.09
20-06-1991,375.42,375.42
21-06-1991,377.75,377.75
24-06-1991,370.94,370.94
25-06-1991,370.65,370.65
26-06-1991,371.59,371.59
27-06-1991,374.4,374.4
28-06-1991,371.16,371.16
01-07-1991,377.92,377.92
02-07-1991,377.47,377.47
03-07-1991,373.33,373.33
05-07-1991,374.08,374.08
08-07-1991,377.94,377.94
09-07-1991,376.11,376.11
10-07-1991,375.74,375.74
11-07-1991,376.97,376.97
12-07-1991,380.25,380.25
15-07-1991,382.39,382.39
16-07-1991,381.54,381.54
17-07-1991,381.18,381.18
18-07-1991,385.37,385.37
19-07-1991,384.22,384.22
22-07-1991,382.88,382.88
23-07-1991,379.42,379.42
24-07-1991,378.64,378.64
25-07-1991,380.96,380.96
26-07-1991,380.93,380.93
29-07-1991,383.15,383.15
30-07-1991,386.69,386.69
31-07-1991,387.81,387.81
01-08-1991,387.12,387.12
02-08-1991,387.18,387.18
05-08-1991,385.06,385.06
06-08-1991,390.62,390.62
07-08-1991,390.56,390.56
08-08-1991,389.32,389.32
09-08-1991,387.12,387.12
12-08-1991,388.02,388.02
13-08-1991,389.62,389.62
14-08-1991,389.9,389.9
15-08-1991,389.33,389.33
16-08-1991,385.58,385.58
19-08-1991,376.47,376.47
20-08-1991,379.43,379.43
21-08-1991,390.59,390.59
22-08-1991,391.33,391.33
23-08-1991,394.17,394.17
26-08-1991,393.85,393.85
27-08-1991,393.06,393.06
28-08-1991,396.64,396.64
29-08-1991,396.47,396.47
30-08-1991,395.43,395.43
03-09-1991,392.15,392.15
04-09-1991,389.97,389.97
05-09-1991,389.14,389.14
06-09-1991,389.1,389.1
09-09-1991,388.57,388.57
10-09-1991,384.56,384.56
11-09-1991,385.09,385.09
12-09-1991,387.34,387.34
13-09-1991,383.59,383.59
16-09-1991,385.78,385.78
17-09-1991,385.5,385.5
18-09-1991,386.94,386.94
19-09-1991,387.56,387.56
20-09-1991,387.92,387.92
23-09-1991,385.92,385.92
24-09-1991,387.71,387.71
25-09-1991,386.88,386.88
26-09-1991,386.49,386.49
27-09-1991,385.9,385.9
30-09-1991,387.86,387.86
01-10-1991,389.2,389.2
02-10-1991,388.26,388.26
03-10-1991,384.47,384.47
04-10-1991,381.25,381.25
07-10-1991,379.5,379.5
08-10-1991,380.67,380.67
09-10-1991,376.8,376.8
10-10-1991,380.55,380.55
11-10-1991,381.45,381.45
14-10-1991,386.47,386.47
15-10-1991,391.01,391.01
16-10-1991,392.8,392.8
17-10-1991,391.92,391.92
18-10-1991,392.5,392.5
21-10-1991,390.02,390.02
22-10-1991,387.83,387.83
23-10-1991,387.94,387.94
24-10-1991,385.07,385.07
25-10-1991,384.2,384.2
28-10-1991,389.52,389.52
29-10-1991,391.48,391.48
30-10-1991,392.96,392.96
31-10-1991,392.45,392.45
01-11-1991,391.32,391.32
04-11-1991,390.28,390.28
05-11-1991,388.71,388.71
06-11-1991,389.97,389.97
07-11-1991,393.72,393.72
08-11-1991,392.89,392.89
11-11-1991,393.12,393.12
12-11-1991,396.74,396.74
13-11-1991,397.41,397.41
14-11-1991,397.15,397.15
15-11-1991,382.62,382.62
18-11-1991,385.24,385.24
19-11-1991,379.42,379.42
20-11-1991,378.53,378.53
21-11-1991,380.06,380.06
22-11-1991,376.14,376.14
25-11-1991,375.34,375.34
26-11-1991,377.96,377.96
27-11-1991,376.55,376.55
29-11-1991,375.22,375.22
02-12-1991,381.4,381.4
03-12-1991,380.96,380.96
04-12-1991,380.07,380.07
05-12-1991,377.39,377.39
06-12-1991,379.1,379.1
09-12-1991,378.26,378.26
10-12-1991,377.9,377.9
11-12-1991,377.7,377.7
12-12-1991,381.55,381.55
13-12-1991,384.47,384.47
16-12-1991,384.46,384.46
17-12-1991,382.74,382.74
18-12-1991,383.48,383.48
19-12-1991,382.52,382.52
20-12-1991,387.04,387.04
23-12-1991,396.82,396.82
24-12-1991,399.33,399.33
26-12-1991,404.84,404.84
27-12-1991,406.46,406.46
30-12-1991,415.14,415.14
31-12-1991,417.09,417.09
02-01-1992,417.26,417.26
03-01-1992,419.34,419.34
06-01-1992,417.96,417.96
07-01-1992,417.4,417.4
08-01-1992,418.1,418.1
09-01-1992,417.61,417.61
10-01-1992,415.1,415.1
13-01-1992,414.34,414.34
14-01-1992,420.44,420.44
15-01-1992,420.77,420.77
16-01-1992,418.21,418.21
17-01-1992,418.86,418.86
20-01-1992,416.36,416.36
21-01-1992,412.64,412.64
22-01-1992,418.13,418.13
23-01-1992,414.96,414.96
24-01-1992,415.48,415.48
27-01-1992,414.99,414.99
28-01-1992,414.96,414.96
29-01-1992,410.34,410.34
30-01-1992,411.62,411.62
31-01-1992,408.78,408.78
03-02-1992,409.53,409.53
04-02-1992,413.85,413.85
05-02-1992,413.84,413.84
06-02-1992,413.82,413.82
07-02-1992,411.09,411.09
10-02-1992,413.77,413.77
11-02-1992,413.76,413.76
12-02-1992,417.13,417.13
13-02-1992,413.69,413.69
14-02-1992,412.48,412.48
18-02-1992,407.38,407.38
19-02-1992,408.26,408.26
20-02-1992,413.9,413.9
21-02-1992,411.43,411.43
24-02-1992,412.27,412.27
25-02-1992,410.45,410.45
26-02-1992,415.35,415.35
27-02-1992,413.86,413.86
28-02-1992,412.7,412.7
02-03-1992,412.45,412.45
03-03-1992,412.85,412.85
04-03-1992,409.33,409.33
05-03-1992,406.51,406.51
06-03-1992,404.44,404.44
09-03-1992,405.21,405.21
10-03-1992,406.89,406.89
11-03-1992,404.03,404.03
12-03-1992,403.89,403.89
13-03-1992,405.84,405.84
16-03-1992,406.39,406.39
17-03-1992,409.58,409.58
18-03-1992,409.15,409.15
19-03-1992,409.8,409.8
20-03-1992,411.3,411.3
23-03-1992,409.91,409.91
24-03-1992,408.88,408.88
25-03-1992,407.52,407.52
26-03-1992,407.86,407.86
27-03-1992,403.5,403.5
30-03-1992,403,403
31-03-1992,403.69,403.69
01-04-1992,404.23,404.23
02-04-1992,400.5,400.5
03-04-1992,401.55,401.55
06-04-1992,405.59,405.59
07-04-1992,398.06,398.06
08-04-1992,394.5,394.5
09-04-1992,400.64,400.64
10-04-1992,404.29,404.29
13-04-1992,406.08,406.08
14-04-1992,412.39,412.39
15-04-1992,416.28,416.28
16-04-1992,416.04,416.04
20-04-1992,410.18,410.18
21-04-1992,410.26,410.26
22-04-1992,409.81,409.81
23-04-1992,411.6,411.6
24-04-1992,409.02,409.02
27-04-1992,408.45,408.45
28-04-1992,409.11,409.11
29-04-1992,412.02,412.02
30-04-1992,414.95,414.95
01-05-1992,412.53,412.53
04-05-1992,416.91,416.91
05-05-1992,416.84,416.84
06-05-1992,416.79,416.79
07-05-1992,415.85,415.85
08-05-1992,416.05,416.05
11-05-1992,418.49,418.49
12-05-1992,416.29,416.29
13-05-1992,416.45,416.45
14-05-1992,413.14,413.14
15-05-1992,410.09,410.09
18-05-1992,412.81,412.81
19-05-1992,416.37,416.37
20-05-1992,415.39,415.39
21-05-1992,412.6,412.6
22-05-1992,414.02,414.02
26-05-1992,411.41,411.41
27-05-1992,412.17,412.17
28-05-1992,416.74,416.74
29-05-1992,415.35,415.35
01-06-1992,417.3,417.3
02-06-1992,413.5,413.5
03-06-1992,414.59,414.59
04-06-1992,413.26,413.26
05-06-1992,413.48,413.48
08-06-1992,413.36,413.36
09-06-1992,410.06,410.06
10-06-1992,407.25,407.25
11-06-1992,409.05,409.05
12-06-1992,409.76,409.76
15-06-1992,410.29,410.29
16-06-1992,408.32,408.32
17-06-1992,402.26,402.26
18-06-1992,400.96,400.96
19-06-1992,403.67,403.67
22-06-1992,403.4,403.4
23-06-1992,404.04,404.04
24-06-1992,403.84,403.84
25-06-1992,403.12,403.12
26-06-1992,403.45,403.45
29-06-1992,408.94,408.94
30-06-1992,408.14,408.14
01-07-1992,412.88,412.88
02-07-1992,411.77,411.77
06-07-1992,413.84,413.84
07-07-1992,409.16,409.16
08-07-1992,410.28,410.28
09-07-1992,414.23,414.23
10-07-1992,414.62,414.62
13-07-1992,414.87,414.87
14-07-1992,417.68,417.68
15-07-1992,417.1,417.1
16-07-1992,417.54,417.54
17-07-1992,415.62,415.62
20-07-1992,413.75,413.75
21-07-1992,413.76,413.76
22-07-1992,410.93,410.93
23-07-1992,412.08,412.08
24-07-1992,411.6,411.6
27-07-1992,411.54,411.54
28-07-1992,417.52,417.52
29-07-1992,422.23,422.23
30-07-1992,423.92,423.92
31-07-1992,424.21,424.21
